INFO 2024-11-30 13:21:33,182 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-30 13:21:33,184 autoreload Waiting for apps ready_event.
DEBUG 2024-11-30 13:21:33,186 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-30 13:21:33,194 autoreload Watching dir /backend/locale with glob **/*.mo.
DEBUG 2024-11-30 13:21:33,196 autoreload Watching dir /usr/local/lib/python3.10/site-packages/daphne/locale with glob **/*.mo.
DEBUG 2024-11-30 13:21:33,196 autoreload Watching dir /backend/gameback/game/locale with glob **/*.mo.
DEBUG 2024-11-30 13:21:33,225 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-11-30 13:21:33,230 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-11-30 13:21:33,230 runserver Daphne running, listening on 0.0.0.0:8001
DEBUG 2024-11-30 13:21:33,328 autoreload File /usr/local/lib/python3.10/site-packages/attrs/setters.py first seen with mtime 1732971587.73492
DEBUG 2024-11-30 13:21:33,329 autoreload File /usr/local/lib/python3.10/site-packages/twisted/application/service.py first seen with mtime 1732971588.9709165
DEBUG 2024-11-30 13:21:33,329 autoreload File /usr/local/lib/python3.10/site-packages/django/db/migrations/operations/models.py first seen with mtime 1732971591.742909
DEBUG 2024-11-30 13:21:33,329 autoreload File /usr/local/lib/python3.10/site-packages/django/db/models/functions/window.py first seen with mtime 1732971591.7509089
DEBUG 2024-11-30 13:21:33,330 autoreload File /usr/local/lib/python3.10/site-packages/OpenSSL/version.py first seen with mtime 1732971593.162905
DEBUG 2024-11-30 13:21:33,330 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/bindings/_rust.abi3.so first seen with mtime 1732971592.9309056
DEBUG 2024-11-30 13:21:33,330 autoreload File /usr/local/lib/python3.10/site-packages/hyperlink/__init__.py first seen with mtime 1732971588.446918
DEBUG 2024-11-30 13:21:33,330 autoreload File /usr/local/lib/python3.10/lib-dynload/array.cpython-310-x86_64-linux-gnu.so first seen with mtime 1731378301.0
DEBUG 2024-11-30 13:21:33,330 autoreload File /usr/local/lib/python3.10/site-packages/django/db/models/fields/related.py first seen with mtime 1732971591.746909
DEBUG 2024-11-30 13:21:33,330 autoreload File /usr/local/lib/python3.10/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1732971591.706909
DEBUG 2024-11-30 13:21:33,330 autoreload File /usr/local/lib/python3.10/asyncio/base_futures.py first seen with mtime 1731378341.0
DEBUG 2024-11-30 13:21:33,330 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/x509/extensions.py first seen with mtime 1732971592.8749058
DEBUG 2024-11-30 13:21:33,330 autoreload File /usr/local/lib/python3.10/lzma.py first seen with mtime 1731378341.0
DEBUG 2024-11-30 13:21:33,330 autoreload File /usr/local/lib/python3.10/site-packages/django/utils/numberformat.py first seen with mtime 1732971591.7869086
DEBUG 2024-11-30 13:21:33,330 autoreload File /usr/local/lib/python3.10/email/charset.py first seen with mtime 1731378342.0
DEBUG 2024-11-30 13:21:33,330 autoreload File /usr/local/lib/python3.10/selectors.py first seen with mtime 1731378341.0
DEBUG 2024-11-30 13:21:33,330 autoreload File /usr/local/lib/python3.10/logging/handlers.py first seen with mtime 1731378342.0
DEBUG 2024-11-30 13:21:33,330 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/__about__.py first seen with mtime 1732971592.8709056
DEBUG 2024-11-30 13:21:33,330 autoreload File /usr/local/lib/python3.10/site-packages/django/template/loaders/filesystem.py first seen with mtime 1732971591.7749088
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/site-packages/django/core/servers/__init__.py first seen with mtime 1732971591.726909
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/site-packages/django/forms/fields.py first seen with mtime 1732971591.7509089
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/stat.py first seen with mtime 1731378341.0
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/functools.py first seen with mtime 1731378341.0
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/lib-dynload/_json.cpython-310-x86_64-linux-gnu.so first seen with mtime 1731378305.0
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/site-packages/django/core/checks/model_checks.py first seen with mtime 1732971591.710909
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/logging/__init__.py first seen with mtime 1731378342.0
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/bindings/__init__.py first seen with mtime 1732971592.8749058
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/site-packages/django/db/models/fields/reverse_related.py first seen with mtime 1732971591.746909
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/site-packages/twisted/__init__.py first seen with mtime 1732971588.9669166
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/site-packages/attr/_compat.py first seen with mtime 1732971587.7309198
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/site-packages/django/core/cache/backends/base.py first seen with mtime 1732971591.706909
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/_weakrefset.py first seen with mtime 1731378341.0
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/site-packages/django/db/models/sql/query.py first seen with mtime 1732971591.7509089
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/asyncio/base_events.py first seen with mtime 1731378341.0
DEBUG 2024-11-30 13:21:33,331 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/asymmetric/x448.py first seen with mtime 1732971592.9429057
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/site-packages/idna/package_data.py first seen with mtime 1732971587.0949216
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/argparse.py first seen with mtime 1731378341.0
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/site-packages/autobahn/websocket/compress.py first seen with mtime 1732971593.514904
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/site-packages/django/db/backends/sqlite3/introspection.py first seen with mtime 1732971591.7349088
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/bindings/openssl/__init__.py first seen with mtime 1732971592.9309056
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/site-packages/django/template/exceptions.py first seen with mtime 1732971591.7709088
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/site-packages/django/urls/converters.py first seen with mtime 1732971591.7789087
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/site-packages/django/utils/hashable.py first seen with mtime 1732971591.7829087
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/email/mime/message.py first seen with mtime 1731378342.0
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/admin/utils.py first seen with mtime 1732971591.1309106
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/site-packages/twisted/python/failure.py first seen with mtime 1732971589.0669162
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/hashes.py first seen with mtime 1732971592.9349055
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/site-packages/daphne/checks.py first seen with mtime 1732971594.1509023
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/site-packages/constantly/_version.py first seen with mtime 1732971587.3109212
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/importlib/util.py first seen with mtime 1731378342.0
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/socketserver.py first seen with mtime 1731378341.0
DEBUG 2024-11-30 13:21:33,332 autoreload File /usr/local/lib/python3.10/site-packages/service_identity/cryptography.py first seen with mtime 1732971593.0869052
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/site-packages/django/urls/exceptions.py first seen with mtime 1732971591.7789087
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/site-packages/twisted/python/compat.py first seen with mtime 1732971589.0629163
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/site-packages/txaio/_iotype.py first seen with mtime 1732971586.254924
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1732971591.3589098
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/site-packages/idna/intranges.py first seen with mtime 1732971587.0949216
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/site-packages/twisted/persisted/__init__.py first seen with mtime 1732971589.0469162
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/asyncio/unix_events.py first seen with mtime 1731378341.0
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/site-packages/daphne/ws_protocol.py first seen with mtime 1732971594.1509023
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/site-packages/django/db/backends/sqlite3/schema.py first seen with mtime 1732971591.7389088
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/messages/__init__.py first seen with mtime 1732971591.5469093
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/zoneinfo/_tzpath.py first seen with mtime 1731378342.0
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/site-packages/twisted/python/log.py first seen with mtime 1732971589.0669162
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/auth/hashers.py first seen with mtime 1732971591.31091
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/site-packages/django/db/models/fields/mixins.py first seen with mtime 1732971591.746909
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/site-packages/attrs/exceptions.py first seen with mtime 1732971587.73492
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/site-packages/django/core/exceptions.py first seen with mtime 1732971591.706909
DEBUG 2024-11-30 13:21:33,333 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/messages/apps.py first seen with mtime 1732971591.5469093
DEBUG 2024-11-30 13:21:33,334 autoreload File /usr/local/lib/python3.10/inspect.py first seen with mtime 1731378341.0
DEBUG 2024-11-30 13:21:33,334 autoreload File /usr/local/lib/python3.10/site-packages/django/views/static.py first seen with mtime 1732971591.7909088
DEBUG 2024-11-30 13:21:33,334 autoreload File /usr/local/lib/python3.10/site-packages/django/forms/__init__.py first seen with mtime 1732971591.7509089
DEBUG 2024-11-30 13:21:33,334 autoreload File /usr/local/lib/python3.10/site-packages/django/db/models/functions/__init__.py first seen with mtime 1732971591.746909
DEBUG 2024-11-30 13:21:33,334 autoreload File /usr/local/lib/python3.10/zipfile.py first seen with mtime 1731378341.0
DEBUG 2024-11-30 13:21:33,334 autoreload File /usr/local/lib/python3.10/site-packages/pyasn1/compat/__init__.py first seen with mtime 1732971586.7949226
DEBUG 2024-11-30 13:21:33,334 autoreload File /usr/local/lib/python3.10/site-packages/django/core/files/temp.py first seen with mtime 1732971591.7149088
DEBUG 2024-11-30 13:21:33,334 autoreload File /usr/local/lib/python3.10/pty.py first seen with mtime 1731378341.0
